web-scraper-order,web-scraper-start-url,product_name,price,spec_columns,spec_values
1678103362-1515,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Motor Power (w),
1678103362-1516,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Starting,
1678103362-1517,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Bluetooth Connectivity,
1678103362-1518,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Anti Theft Alarm,
1678103362-1519,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Speedometer,
1678103362-1520,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Tripmeter,
1678103362-1521,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Additional Features Of Variant,
1678103362-1522,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Seat Type,
1678103362-1523,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Clock,
1678103362-1524,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Passenger Footrest,
1678103362-1525,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Braking Type,
1678103362-1526,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Charging Point,
1678103362-1527,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Fast Charging,
1678103362-1528,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Mobile Application,
1678103362-1529,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Speedometer,
1678103362-1530,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Tripmeter,
1678103362-1531,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Clock,
1678103362-1532,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Riding Modes,
1678103362-1533,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Additional Features,
1678103362-1534,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Passenger Footrest,
1678103362-1535,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Display,
1678103362-1536,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Body Type,
1678103362-1537,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Ground Clearance,
1678103362-1538,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Headlight,
1678103362-1539,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Tail Light,
1678103362-1540,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Turn Signal Lamp,
1678103362-1541,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Low Battery Indicator,
1678103362-1542,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,0-40 Kmph (sec),
1678103362-1543,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Top Speed,
1678103362-1544,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Motor Type,
1678103362-1545,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Drive Type,
1678103362-1546,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Battery Capacity,
1678103362-1547,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Battery Warranty,
1678103362-1548,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Water Proof Rating,
1678103362-1549,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Motor Warranty,
1678103362-1550,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Transmission,
1678103362-1551,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Claimed Range,
1678103362-1552,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Brakes Front,
1678103362-1553,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Brakes Rear,
1678103362-1554,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Wheels Type,
1678103362-1555,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,Tubeless Tyre,
1678103362-1556,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,1000
1678103362-1557,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Push Button Start
1678103362-1558,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,"Bluetooth,WiFi"
1678103362-1559,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1560,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1561,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1562,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,"GPS, MHX (Maximum Heat Exchanging), Driver Alert System, IoT-led Gamification"
1678103362-1563,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Split
1678103362-1564,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1565,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1566,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Combine Braking System
1678103362-1567,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1568,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1569,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1570,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1571,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1572,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Digital
1678103362-1573,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1574,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,"GPS, MHX (Maximum Heat Exchanging), Driver Alert System, IoT-led Gamification"
1678103362-1575,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1576,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1577,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Electric Bikes
1678103362-1578,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,230 mm
1678103362-1579,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,LED
1678103362-1580,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,LED
1678103362-1581,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,LED
1678103362-1582,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Yes
1678103362-1583,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,3s
1678103362-1584,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,100 kmph
1678103362-1585,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,IPMSM Motor
1678103362-1586,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Belt Drive
1678103362-1587,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,4.4 kwh
1678103362-1588,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,3 Years
1678103362-1589,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,IP67
1678103362-1590,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,3 Years
1678103362-1591,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Automatic
1678103362-1592,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,200 km/charge
1678103362-1593,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Disc
1678103362-1594,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Disc
1678103362-1595,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Alloy
1678103362-1596,https://www.bikedekho.com/oben/oben-electric-bike/specifications,Oben Rorr,Rs.1.03 Lakh*,,Tubeless
1678103365-1597,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Continuous Power,
1678103365-1598,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Motor Power (w),
1678103365-1599,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Range (Eco Mode),
1678103365-1600,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Range (Normal Mode),
1678103365-1601,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Range (Sport Mode),
1678103365-1602,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Starting,
1678103365-1603,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Motor IP Rating,
1678103365-1604,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Instrument Console,
1678103365-1605,https://www.bikedekho.com/tork/t6x/specifications,Tork Kratos,Rs.1.22 - 1.37 Lakh*,Bluetooth Connectivity,
